pmid,year,n_sections,question,decision
11977907,2002,3,Subclavian steal syndrome: can the blood pressure difference between arms predic,yes
11978239,2002,5,Do primary care physicians underprescribe antibiotics for peptic ulcer disease?,yes
12006913,2002,4,"Do lipids, blood pressure, diabetes, and smoking confer equal risk of myocardial",no
12040336,2002,3,Cardiogenic shock complicating acute myocardial infarction in elderly patients: ,no
12068831,2002,3,Do nontriploid partial hydatidiform moles exist?,no
12070552,2002,3,Do antibiotics decrease post-tonsillectomy morbidity?,no
12090319,2002,3,Is there a need for pelvic CT scan in cases of renal cell carcinoma?,no
12094116,2002,6,Is muscle power related to running speed with changes of direction?,yes
12095973,2002,3,Chemoradiation instead of surgery to treat mid and low rectal tumors: is it safe,no
12098035,2002,3,Does a special interest in laparoscopy affect the treatment of acute cholecystit,yes
12121321,2002,3,Do mossy fibers release GABA?,yes
12142826,2002,7,Pertrochanteric fractures: is there an advantage to an intramedullary nail?,no
12145243,2002,3,Are lower fasting plasma glucose levels at diagnosis of type 2 diabetes associat,yes
12153648,2002,3,Does birth center care during a woman's first pregnancy have any impact on her f,no
12163782,2002,5,Increased neutrophil migratory activity after major trauma: a factor in the etio,yes
12172698,2002,4,Is withdrawal-induced anxiety in alcoholism based on beta-endorphin deficiency?,yes
12221908,2002,5,The HELPP syndrome--evidence of a possible systemic inflammatory response in pre,yes
12238307,2002,3,Vaccine protection in the elderly: are Austrian seniors adequately protected by ,no
12377809,2002,3,Is anorectal endosonography valuable in dyschesia?,yes
12380309,2002,3,Should circumcision be performed in childhood?,no
12407608,2002,6,Does ultrasound imaging before puncture facilitate internal jugular vein cannula,maybe
12419743,2002,3,Is first-line single-agent mitoxantrone in the treatment of high-risk metastatic,yes
12442934,2002,3,Does ibuprofen increase perioperative blood loss during hip arthroplasty?,yes
12484580,2002,6,Informed consent for total hip arthroplasty: does a written information sheet im,yes
12595848,2003,3,Is specialty care associated with improved survival of patients with congestive ,yes
12607120,2003,3,Does anastomotic leakage affect functional outcome after rectal resection for ca,no
12607666,2003,3,Is extended aortic replacement in acute type A dissection justifiable?,yes
12612531,2003,3,Fragility of the esophageal mucosa: a pathognomonic endoscopic sign of primary e,yes
12626177,2003,3,Can the Internet be used to improve sexual health awareness in web-wise young pe,maybe
12630042,,3,Does body mass index (BMI) influence morbidity and long-term survival in gastric,maybe
12632437,2003,3,Are environmental factors important in primary systemic vasculitis?,yes
12684740,2003,3,Cue-induced behavioural activation: a novel model of alcohol craving?,yes
12690589,2003,7,Can continuous physical training counteract aging effect on myoelectric fatigue?,yes
12765819,2003,2,Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,yes
12769830,2003,3,Should tumor depth be included in prognostication of soft tissue sarcoma?,no
12790890,2003,3,Is the cell death in mesial temporal sclerosis apoptotic?,maybe
12805495,2003,3,Can patients be anticoagulated after intracerebral hemorrhage?,maybe
12836106,2003,3,Does the leukocyte count correlate with the severity of injury?,yes
12846929,2003,3,Quality of life in lung cancer patients: does socioeconomic status matter?,yes
12848629,2003,3,Is a 9-month treatment sufficient in tuberculous enterocolitis?,yes
12855939,2003,5,Is ankle/arm pressure predictive for cardiovascular mortality in older patients ,no
12913347,,3,Do microbiological factors account for poor pregnancy outcome among unmarried pr,yes
12913878,2003,3,Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:Y,yes
12920330,,3,Do somatic complaints predict subsequent symptoms of depression?,maybe
12947068,2003,3,Do older men benefit from curative therapy of localized prostate cancer?,yes
12963175,2003,3,Can progression of valvar aortic stenosis be predicted accurately?,yes
12970636,2003,3,Does early discharge with nurse home visits affect adequacy of newborn metabolic,no
14518645,2003,3,Injury and poisoning mortality among young men--are there any common factors ame,yes
14551704,2003,3,Can communication with terminally ill patients be taught?,yes
14599616,2003,3,Can a practicing surgeon detect early lymphedema reliably?,maybe
14612308,2003,4,Can PRISM predict length of PICU stay?,no
14627582,2003,3,Double reading of barium enemas: is it necessary?,no
14631523,2003,3,Sub-classification of low-grade cerebellar astrocytoma: is it clinically meaning,no
14652839,2004,3,Does the sequence of clamp application during open abdominal aortic aneurysm sur,no
14655021,2005,3,Juvenile ankylosing spondylitis--is it the same disease as adult ankylosing spon,no
14692023,2004,3,Is breast cancer survival improving?,yes
14697414,2004,3,Is there a favorable subset of patients with prostate cancer who develop oligome,yes
14713788,2004,3,Is year of radical prostatectomy a predictor of outcome in prostate cancer?,yes
14745753,2004,3,Is half-dose contrast-enhanced three-dimensional MR angiography sufficient for t,yes
14872327,2004,3,Is pain a clinically relevant problem in general adult psychiatry?,yes
14968373,2004,3,Can CT predict the level of CSF block in tuberculous hydrocephalus?,yes
14976655,,3,Delayed peripheral facial palsy in the stapes surgery: can it be prevented?,yes
14978612,2004,3,Does positron emission tomography change management in primary rectal cancer?,yes
14992556,2004,3,Artefacts in 24-h pharyngeal and oesophageal pH monitoring: is simplification of,maybe
15000338,2004,6,Do family physicians know the costs of medical care?,no
15041506,2004,3,Is fear of anaphylactic shock discouraging surgeons from more widely adopting pe,yes
15050326,2004,3,Does radiotherapy around the time of pregnancy for Hodgkin's disease modify the ,yes
15052394,2004,3,Are higher rates of depression in women accounted for by differential symptom re,no
15053041,2004,3,Do acute changes in heart rate by isoproterenol affect aortic stiffness in patie,no
15065192,2004,3,Three-dimensional ultrasound-validated large-core needle biopsy: is it a reliabl,yes
15095519,,3,Are patients with diabetes receiving the same message from dietitians and nurses,no
15112004,2004,3,Are WHO/UNAIDS/UNICEF-recommended replacement milks for infants of HIV-infected ,no
15125825,2004,5,Starting insulin in type 2 diabetes: continue oral hypoglycemic agents?,yes
15137012,2004,3,Ovarian torsion in children: is oophorectomy necessary?,no
15141797,2004,3,Can we rely on arterial line sampling in performing activated plasma thromboplas,no
15151701,2004,3,Profiling quality of care: Is there a role for peer review?,yes
15208005,2004,3,The Omega-3 Index: a new risk factor for death from coronary heart disease?,yes
15222284,2004,3,The effective orifice area/patient aortic annulus area ratio: a better way to co,yes
15223725,2004,3,Does blood pressure change in treated hypertensive patients depending on whether,yes
15223779,2004,3,c-Kit-dependent growth of uveal melanoma cells: a potential therapeutic target?,yes
15280782,2004,5,Is unsafe sexual behaviour increasing among HIV-infected individuals?,no
15369037,2004,3,Do people who were passive smokers during childhood have increased risk of long-,yes
15381614,2004,6,Cutaneous melanoma in a multiethnic population: is this a different disease?,maybe
15388567,2004,3,Are sports medicine journals relevant and applicable to practitioners and athlet,no
15466981,2004,3,Prostate-specific antigen and free prostate-specific antigen in the early detect,yes
15475728,2004,3,Alcohol consumption and acute myocardial infarction: a benefit of alcohol consum,yes
15477551,2004,3,Chronic progressive cervical myelopathy with HTLV-I infection: Variant form of H,yes
15483019,2004,3,Is eligibility for a chemotherapy protocol a good prognostic factor for invasive,yes
15488260,2004,4,Is the type of remission after a major depressive episode an important risk fact,yes
15489384,2004,3,Does reducing spasticity translate into functional benefit?,yes
15502995,2004,3,Does the early adopter of drugs exist?,no
15528969,2004,3,Is expert breast pathology assessment necessary for the management of ductal car,yes
15530261,,3,Does screening or surveillance for primary hepatocellular carcinoma with ultraso,yes
15539888,2004,4,Is the atopy patch test with house dust mites specific for atopic dermatitis?,yes
15588538,2004,6,Chronic functional somatic symptoms: a single syndrome?,no
15597845,2004,3,Is the combination with 2-methoxyestradiol able to reduce the dosages of chemoth,yes
15631914,2005,3,Is the clinically positive axilla in breast cancer really a contraindication to ,no
15670262,2005,7,Is gastric electrical stimulation superior to standard pharmacologic therapy in ,yes
15687156,2005,3,Can normal knee kinematics be restored with unicompartmental knee replacement?,no
15703931,2005,3,Does diabetes mellitus influence the efficacy of FDG-PET in the diagnosis of cer,no
15708048,2005,3,Does prior benign prostate biopsy predict outcome for patients treated with radi,yes
1571683,1992,6,Storage of vaccines in the community: weak link in the cold chain?,maybe
15774570,2005,3,Does increased use of private health care reduce the demand for NHS care?,no
15787677,2005,2,Does aerobic fitness influence microvascular function in healthy adults at risk ,maybe
15800018,2005,2,Are even impaired fasting blood glucose levels preoperatively associated with in,yes
15841770,2004,2,Do inhaled steroids differ from cromones in terms of hospital admission rates fo,yes
15879722,2005,4,Is cytokeratin immunoreactivity useful in the diagnosis of short-segment Barrett,yes
15918864,2005,3,Learning needs of postpartum women: does socioeconomic status matter?,yes
15919266,2005,3,Adjuvant radiation of stage III thymoma: is it necessary?,no
15939071,2005,3,High cumulative insulin exposure: a risk factor of atherosclerosis in type 1 dia,yes
15943725,2005,3,Should serum pancreatic lipase replace serum amylase as a biomarker of acute pan,yes
15954832,2005,3,Is minilaparoscopic inguinal hernia repair feasible?,yes
15962678,2005,3,Does preloading with colloids prevent hemodynamic changes when neurosurgical pat,yes
15995461,2005,2,Do some U.S. states have higher/lower injury mortality rates than others?,yes
16046584,2005,8,Menopausal hormone therapy and irregular endometrial bleeding: a potential role ,yes
16097998,2005,3,Is coeliac disease screening in risk groups justified?,yes
16100194,2005,5,Are physicians aware of the side effects of angiotensin-converting enzyme inhibi,no
16147837,2005,3,Is grandmultiparity an independent risk factor for adverse perinatal outcomes?,yes
16151770,2006,3,Memory-provoked rCBF-SPECT as a diagnostic tool in Alzheimer's disease?,yes
16155169,2005,3,Percutaneous ethanol injection for benign cystic thyroid nodules: is aspiration ,no
16195477,2005,2,Production of chemokines by perivascular adipose tissue: a role in the pathogene,yes
16216859,2006,6,Does a well developed collateral circulation predispose to restenosis after perc,no
16241924,2005,3,Does parity increase insulin resistance during pregnancy?,no
16249670,2005,3,Does the investing layer of the deep cervical fascia exist?,no
16253970,2006,3,Is controlled ovarian stimulation in intrauterine insemination an acceptable the,no
16266387,2005,3,Fast foods - are they a risk factor for asthma?,yes
16296668,1998,4,Can bedside assessment reliably exclude aspiration following acute stroke?,no
16319544,2005,3,Is high-sensitivity C-reactive protein associated with carotid atherosclerosis i,no
16361634,2005,3,Women with synchronous primary cancers of the endometrium and ovary: do they hav,maybe
16392897,2005,3,BCRABL transcript detection by quantitative real-time PCR : are correlated resul,maybe
16403186,2005,3,Are the arginine vasopressin V1a receptor microsatellites related to hypersexual,no
16414216,2006,7,Are endometrial polyps from pre-menopausal women similar to post-menopausal wome,no
16418930,2006,3,Landolt C and snellen e acuity: differences in strabismus amblyopia?,no
16428354,2006,3,Does rural or urban residence make a difference to neonatal outcome in premature,yes
16432652,2006,3,Transgastric endoscopic splenectomy: is it possible?,yes
16465002,2006,4,Dose end-tidal carbon dioxide measurement correlate with arterial carbon dioxide,yes
16498158,2006,3,Is atropine needed with ketamine sedation?,yes
16510651,2006,3,Birth characteristics and risk of low intellectual performance in early adulthoo,no
16538201,2004,3,Does use of hydrophilic guidewires significantly improve technical success rates,maybe
16564683,2006,3,Is there any interest to perform ultrasonography in boys with undescended testis,no
16647887,2006,3,Are women who are treated for hypothyroidism at risk for pregnancy complications,no
16678696,2006,3,Continuity of care experience of residents in an academic vascular department: a,no
16713745,2006,3,Do cytokine concentrations in pancreatic juice predict the presence of pancreati,yes
16735905,2006,4,Does the severity of obstructive sleep apnea predict patients requiring high con,maybe
16769333,2006,3,Preoperative tracheobronchoscopy in newborns with esophageal atresia: does it ma,yes
16772913,2006,3,A comparison of 500 prefilled textured saline breast implants versus 500 standar,yes
16776337,2006,2,Pituitary apoplexy: do histological features influence the clinical presentation,yes
16778275,2006,3,Is routine chest radiography after transbronchial biopsy necessary?,no
16809243,2006,3,Is fetal gender associated with emergency department visits for asthma during pr,no
16816043,2006,3,Do French lay people and health professionals find it acceptable to breach confi,maybe
16827975,2006,3,Chemotherapy and survival in advanced non-small cell lung carcinoma: is pneumolo,no
16872243,2006,2,Can decisional algorithms replace global introspection in the individual causali,no
16909975,2006,3,Can dose reduction to one parotid gland prevent xerostomia?,yes
16956164,2006,3,Do all ethnic groups in New Zealand exhibit socio-economic mortality gradients?,yes
16962519,,6,Volume change of uterine myomas during pregnancy: do myomas really grow?,no
16968183,2006,3,Is laparoscopic cholecystectomy safe and acceptable as a day case procedure?,yes
16968876,2006,3,Is a patient's self-reported health-related quality of life a prognostic factor ,maybe
16971978,2006,4,Are complex coronary lesions more frequent in patients with diabetes mellitus?,yes
16991071,,3,Rotator cuff tear--an occupational disease?,yes
17008699,2006,3,Do patients with localized prostate cancer treatment really want more aggressive,no
17032327,2006,3,Do supervised colorectal trainees differ from consultants in terms of quality of,no
17051586,2006,3,Can folic acid protect against congenital heart defects in Down syndrome?,no
17054994,2006,3,Does frozen section alter surgical management of multinodular thyroid disease?,no
17062225,2006,3,Thoracic and thoracoabdominal aneurysm repair: is reimplantation of spinal cord ,yes
17062234,2006,3,Surgical management of the atherosclerotic ascending aorta: is endoaortic balloo,no
17076091,2006,3,Does obstructive sleep apnea affect aerobic fitness?,maybe
17076590,2006,7,Counter sampling combined with medical provider education: do they alter prescri,maybe
17089900,2006,3,Does Paget's disease exist in India?,yes
17096624,,3,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes
17105833,2006,4,Empiric treatment of uncomplicated urinary tract infection with fluoroquinolones,maybe
17113061,2007,3,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no
17179167,2007,3,Human papillomavirus and pterygium. Is the virus a risk factor?,maybe
17192736,2007,3,Is fluoroscopy essential for retrieval of lower ureteric stones?,no
