contract,title,n_chars,n_chunks
MSCIINC,MSCIINC_02_28_2008-EX-10.10-,11770,9
MONSANTO,Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT,221382,154
MPHASETECHNOLOGIESINC,MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement,8321,6
MUSCLEPHARMCORP,MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement,87795,54
N2KINC,N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT,49518,35
NOVOINTEGRATEDSCIENCESINC,"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT",21955,11
OMINTOINC,"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT",28463,21
ONEMAINHOLDINGSINC,"ONEMAINHOLDINGS,INC_02_20_2020-EX-99.D-JOINT FILING AGREEMENT",5879,4
PACIRA,"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT",145168,108
PANDIONTHERAPEUTICSHOLDCOLLC,PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT,22730,16
PAXMEDICAINC,"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement",16792,7
PHLVARIABLEINSURANCECOCT,PHLVARIABLEINSURANCECOCT_08_17_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,100746,70
PLAYAHOTELS,PLAYAHOTELS_RESORTSNV_03_14_2017-EX-10.22-STRATEGIC ALLIANCE AGREEMENT (Hyatt Ziva Cancun),22259,16
PRECIGENINC,"PRECIGEN,INC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT",972,1
PRIMEENERGYRESOURCESCORP,PRIMEENERGYRESOURCESCORP_04_02_2007-EX-10.28-COMPLETION AND LIQUIDITY MAINTENANCE AGREEMENT,5030,4
PROFOUNDMEDICALCORP,PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT,66442,47
PAPEREXCHANGECOMINC,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,92875,63
PCQUOTECOMINC,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1,19851,15
PCQUOTECOMINC-2,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2,857,1
PHOENIXNEWMEDIALTD,PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement,25060,19
PHOTRONICSINC,PhotronicsInc_20171219_10-QA_EX-10.28_10982650_EX-10.28_Outsourcing Agreement,25392,21
QUAKER,Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT,22700,13
RMRGROUPINC,RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT,645,1
REINSURANCE,"Reinsurance Group of America, Incorporated - A_R REMARKETING  AGREEMENT",102071,73
RITTERPHARMACEUTICALSINC,RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement,122688,73
SEASPINEHOLDINGSCORP,SEASPINEHOLDINGSCORP_10_10_2018-EX-10.1-SUPPLY AGREEMENT,70898,51
SPIENERGYCOLTD,"SPIENERGYCO,LTD_07_10_2014-EX-10-Cooperation Agreement of 50MWp Photovoltaic Grid-connected Power Generation Project in Yangqiao of~1",2811,1
SPOKHOLDINGSINC,"SPOKHOLDINGS,INC_06_19_2020-EX-10.1-COOPERATION AGREEMENT",17710,9
STWRESOURCESHOLDINGCORP,STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT,27721,17
SUCAMPOPHARMACEUTICALSINC,"SUCAMPOPHARMACEUTICALS,INC_11_04_2015-EX-10.2-STRATEGIC ALLIANCE AGREEMENT",62272,45
SCANSOURCEINC,ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement,14149,10
SCANSOURCEINC-2,ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement,10891,8
SIGATECHNOLOGIESINC,SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement,144443,93
SOUPMANINC,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,144235,86
SOUPMANINC-2,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement4,3314,3
TEARDROPGOLFCO,TEARDROPGOLFCO_10_23_1996-EX-10.12-ENDORSEMENT AGREEMENT,26215,17
TRICITYBANKSHARESCORP,TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT,101639,72
TRIZETTOGROUPINC,TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT,17786,12
TUNIUCORP,TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT,17917,13
THRIVENTVARIABLEINSURANCEACCOUNTB,ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,4871,3
USASYNTHETICFUELCORP,USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT,52252,20
VALENCETECHNOLOGYINC,VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT,73698,51
VAPOTHERM,"VAPOTHERM, INC. - Manufacturing and Supply Agreement",75632,52
VIVINT,"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",3493,2
WASTE2ENERGYHOLDINGSINC,"WASTE2ENERGYHOLDINGS,INC_06_03_2010-EX-10.2-STRATEGIC ALLIANCE AGREEMENT",40442,19
WEBHELPCOMINC,WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT,19257,14
WESTERN,WESTERN COPPER - NON-COMPETITION AGREEMENT,16402,12
WOMENSGOLFUNLIMITEDINC,WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT,32371,21
WATCHITMEDIAINC,WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement,2106,2
WESTPHARMACEUTICALSERVICESINC,WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement,82898,59
XINHUASPORTSENTERTAINMENTLTD,XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement,19128,14
